,Product Name,Prices
0,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999"
1,"vivo V27 5G (Noble Black, 128 GB)","₹32,999"
2,"vivo Y35 (Dawn Gold, 128 GB)","₹17,499"
3,"vivo Y56 5G (Black Engine, 128 GB)","₹19,999"
4,"vivo Y35 (Agate Black, 128 GB)","₹17,499"
5,"vivo T1X (Gravity Black, 128 GB)","₹12,999"
6,"vivo T1X (Space Blue, 128 GB)","₹12,999"
7,"vivo T1X (Space Blue, 64 GB)","₹11,999"
8,"vivo T1X (Gravity Black, 64 GB)","₹11,999"
9,"vivo Y16 (Steller Black, 64 GB)","₹12,499"
10,"vivo T1 44W (Starry Sky, 128 GB)","₹15,999"
11,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999"
12,"vivo T1 44W (Starry Sky, 128 GB)","₹14,499"
13,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹14,499"
14,"vivo T1X (Space Blue, 128 GB)","₹14,999"
15,"vivo T1X (Gravity Black, 128 GB)","₹14,999"
16,"vivo Y16 (Steller Black, 64 GB)","₹10,999"
17,"vivo Y16 (Drizzling Gold, 64 GB)","₹12,499"
18,"vivo Y16 (Drizzling Gold, 64 GB)","₹10,499"
19,"vivo Y16 (Drizzling Gold, 32 GB)","₹10,999"
20,"vivo Y16 (Steller Black, 32 GB)","₹9,999"
21,"vivo V27 5G (Magic Blue, 256 GB)","₹36,999"
22,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹17,999"
23,"vivo Y56 5G (Orange Shimmer, 128 GB)","₹19,999"
24,"vivo Y56 5G (Orange Shimmer, 128 GB)","₹19,999"
25,"vivo Y33s (Mirror Black, 128 GB)","₹18,990"
26,"vivo Y15s (Wave Green, 32 GB)","₹9,499"
27,"vivo Y15c (Wave Green, 32 GB)","₹9,499"
28,"vivo Y100 5G (Pacific Blue, 128 GB)","₹24,999"
29,"vivo Y100 5G (Metal Black, 128 GB)","₹24,999"
30,"vivo Y100 5G (Twilight Gold, 128 GB)","₹24,999"
31,"VIVO Y565G (Orange Shimmer, 128 GB)","₹19,989"
32,"vivo Y22 (Metaverse Green, 128 GB)","₹16,499"
33,"vivo Y22 (Metaverse Green, 64 GB)","₹14,499"
34,"vivo Y22 (Starlit Blue, 64 GB)","₹14,499"
35,"vivo Y21T (Pearl White, 128 GB)","₹15,499"
36,"vivo Y21T (Midnight Blue, 128 GB)","₹15,499"
37,"vivo Y75 (Moonlight Shadow, 128 GB)","₹19,990"
38,"vivo Y22 (Starlit Blue, 128 GB)","₹16,499"
39,"vivo Y75 (Dancing waves, 128 GB)","₹19,990"
40,"vivo Y565G (Black Engine, 128 GB)","₹19,979"
41,"vivo Y15c (Mystic Blue, 64 GB)","₹11,389"
42,"vivo Y15c (Mystic Blue, 32 GB)","₹9,790"
43,"vivo Z1x (Fusion Blue, 128 GB)","₹15,700"
44,"vivo V27 Pro 5G (Noble Black, 256 GB)","₹42,999"
45,"vivo V27 Pro 5G (Magic Blue, 256 GB)","₹42,999"
46,"vivo V27 Pro 5G (Noble Black, 256 GB)","₹39,999"
47,"vivo V27 Pro 5G (Magic Blue, 128 GB)","₹37,999"
48,"vivo T1 Pro 5G (Turbo Cyan, 128 GB)","₹23,999"
49,"vivo T1 Pro 5G (Turbo Black, 128 GB)","₹24,999"
50,"vivo T1 Pro 5G (Turbo Black, 128 GB)","₹23,999"
51,"vivo Y33s (Midday Dream, 128 GB)","₹18,990"
52,"vivo V27 Pro 5G (Noble Black, 128 GB)","₹37,999"
53,"vivo Y21A (Midnight Blue, 64 GB)","₹13,999"
54,"vivo V25 5G (Elegant Black, 128 GB)","₹28,890"
55,"vivo V23 5G (Stardust Black, 256 GB)","₹32,799"
56,"vivo Y33T (Mirror Black, 128 GB)","₹17,990"
57,"vivo V23 5G (Stardust Black, 128 GB)","₹30,689"
58,"vivo V23 5G (Sunshine Gold, 128 GB)","₹29,990"
59,"vivo Y02 (Cosmic Grey, 32 GB)","₹12,999"
60,"vivo V21 5G (Dusk Blue, 128 GB)","₹27,990"
61,"vivo V25 5G (Surfing Blue, 256 GB)","₹33,999"
62,"vivo Z1x (Fusion Blue, 128 GB)","₹15,700"
63,"vivo V25 5G (Surfing Blue, 128 GB)","₹27,790"
64,"vivo Y02 (Orchid Blue, 32 GB)","₹12,999"
65,"vivo Y01 (Elegant Black, 32 GB)","₹7,999"
66,"vivo V21 5G (Arctic White, 128 GB)","₹25,640"
67,"vivo V21 5G (Sunset Dazzle, 128 GB)","₹27,990"
68,"vivo X60 Pro+ (Emperor Blue, 256 GB)","₹54,990"
69,"vivo T1 5G (Starlight Black, 128 GB)","₹19,990"
70,"vivo V25 Pro 5G (Sailing Blue, 128 GB)","₹35,999"
71,"vivo X80 (Urban Blue, 128 GB)","₹54,999"
72,"vivo Y21A (Diamond Glow, 64 GB)","₹13,999"
73,"vivo V21 5G (Arctic White, 128 GB)","₹25,640"
74,"vivo V21 5G (Neon Spark, 128 GB)","₹25,990"
75,"vivo T1 5G (Starlight Black, 128 GB)","₹19,990"
76,"vivo V21 5G (Sunset Dazzle, 128 GB)","₹27,990"
77,"vivo V25 5G (Surfing Blue, 256 GB)","₹33,999"
78,"vivo X60 Pro+ (Emperor Blue, 256 GB)","₹54,990"
79,"vivo X80 (Urban Blue, 128 GB)","₹54,999"
80,"vivo V23 Pro 5G (Sunshine Gold, 128 GB)","₹38,990"
81,"vivo Y21E (Midnight Blue, 64 GB)","₹12,999"
82,"vivo V25 Pro 5G (Pure Black, 128 GB)","₹35,999"
83,"vivo V23 Pro 5G (Stardust Black, 128 GB)","₹38,990"
84,"vivo X80 (Cosmic Black, 128 GB)","₹54,999"
85,"vivo V25 Pro 5G (Sailing Blue, 128 GB)","₹35,999"
86,"vivo V27 5G (Noble Black, 256 GB)","₹36,999"
